movie_id,source_id
1,1
2,2
3,3
4,4
5,5
6,58
7,58
8,6
8,7
9,8
9,9
10,10
10,11
10,12
10,13
11,14
11,15
12,16
13,17
13,18
14,19
15,20
15,21
16,22
16,23
16,24
17,25
18,26
19,27
20,58
21,28
22,29
23,30
24,31
25,32
26,33
27,34
28,35
29,30
30,36
31,37
32,58
32,38
33,39
33,40
34,41
35,42
36,43
37,44
38,3
38,45
38,46
39,58
40,58
41,58
42,58
43,47
44,58
45,58
46,48
47,49
48,58
49,50
49,51
50,52
51,58
52,58
53,58
53,53
54,54
55,58
56,58
56,55
57,59
58,60
59,58
59,56
60,58
60,57
61,58
62,58
63,60
