id,name
1,Action
2,Adventure
3,Animal Adventure
4,Animation
5,Classic Musical
6,Comedy
7,Computer Animation
8,Concert
9,Drama
10,Fairy Tale
11,Family
12,Fantasy
13,Hand-Drawn Animation
14,Horror
15,Musical
16,Romance
17,Sci-Fi
